promote | A. 提升，促进 | B. 保护，保持 | C. 承诺，允诺 | D. 提供，供应 | A
border | A. 边界，边境 | B. 董事会，木板 | C. 负担，责任 | D. 烦恼，打扰 | A
extension | A. 意图，目的 | B. 拓展，扩展 | C. 张力，紧张 | D. 范围，程度 | B
plug | A. 拔出，采摘 | B. 扑通落下 | C. 插头 | D. 骄傲，自豪 | C
chip | A. 芯片 | B. 廉价的，便宜 | C. 首席，长官 | D. 夹子，回形针 | A
considerable | A. 相当的 | B. 体贴的，周到的 | C. 考虑，思考 | D. 关心的，忧虑的 | A
contrary | A. 合同，契约 | B. 控制，支配 | C. 相反的 | D. 贡献，捐助 | C
reflect | A. 反映 | B. 折射，弯曲 | C. 拒绝，谢绝 | D. 尊重，敬重 | A
infer | A. 推断 | B. 提及，参考 | C. 偏爱，宁愿 | D. 给予，授予 | A
refuse | A. 提炼，精炼 | B. 拒绝 | C. 缓解，减轻 | D. 避难，庇护 | B
abandon | A. 丰富的，充裕 | B. 放弃，遗弃 | C. 废除，取消 | D. 吸收，吸引 | B
gulf | A. 罪恶，内疚 | B. 海湾 | C. 俱乐部，高尔夫 | D. 胶水，粘合 | B
hall | A. 大厅 | B. 地狱 | C. 悬崖，山丘 | D. 跟着，拉扯 | A
retreat | A. 撤退，隐退 | B. 对待，治疗 | C. 吸引，引诱 | D. 信任，委托 | A
burden | A. 燃烧，火灾 | B. 负担，责任 | C. 屏障，障碍 | D. 边界，边缘 | B
prospect | A. 保护，防卫 | B. 繁荣，兴旺 | C. 前景，展望 | D. 尊重，敬意 | C
enforce | A. 鼓励，激励 | B. 强制执行，实施 | C. 加强，增强 | D. 参与，从事 | B
procedure | A. 过程，进程 | B. 进行，前进 | C. 生产，制造 | D. 程序，手续 | D
occasion | A. 职业，占领 | B. 场合，时机 | C. 发生，出现 | D. 偶然的，临时的 | B
utter | A. 完全的，说出 | B. 外面的，外部的 | C. 极其，非常 | D. 改变，变更 | A
potential | A. 有力的，强效 | B. 潜在的，潜力 | C. 专利的，专利 | D. 保护的，防卫 | B
option | A. 意见，观点 | B. 选择，选项 | C. 反对，反抗 | D. 乐观，乐观主义 | B
urban | A. 郊区的，乡镇 | B. 城市的 | C. 紧急的，迫切 | D. 冲动的，鲁莽 | B
attitude | A. 高度，海拔 | B. 态度，看法 | C. 纬度，范围 | D. 才能，资质 | B
career | A. 职业，生涯 | B. 细心，照顾 | C. 携带，运送 | D. 核心，要点 | A
loan | A. 孤独的，寂寞 | B. 贷款，借贷 | C. 狮子 | D. 装载，货物 | B
relief | A. 释放，发行 | B. 相信，信念 | C. 缓解，救济 | D. 拒绝，谢绝 | C
product | A. 生产，制造 | B. 产品，成果 | C. 传导，指挥 | D. 保护，防护 | B
vision | A. 版本，译本 | B. 视力，愿景 | C. 访问，参观 | D. 划分，部门 | B
consist | A. 坚持，固执 | B. 包含，由……组成 | C. 抵抗，反抗 | D. 协助，帮助 | B
deposit | A. 存款，沉淀 | B. 处置，安排 | C. 争论，辩论 | D. 拒绝，抛弃 | A
refine | A. 重新定义 | B. 限制，禁闭 | C. 提炼，精炼 | D. 拒绝，谢绝 | C
creative | A. 创造性的，有创造力的 | B. 批评的，挑剔的 | C. 关键的，决定性的 | D. 信任的，可靠的 | A
embrace | A. 拥抱，接受 | B. 尴尬，使难堪 | C. 强调，着重 | D. 浮现，出现 | A
absence | A. 缺席，缺乏 | B. 绝对，完全 | C. 吸收，专注 | D. 滥用，虐待 | A
initiative | A. 初始的，最初 | B. 主动性，倡议 | C. 模仿，仿效 | D. 亲密的，私密的 | B
access | A. 接近，入口 | B. 评估，估价 | C. 超过，过量 | D. 强调，重音 | A
signal | A. 签名，签字 | B. 信号，标志 | C. 单一的，单身 | D. 明显的，显著 | B
estimate | A. 评估，估算 | B. 建立，确立 | C. 消除，根除 | D. 杰出的，显赫 | A
vehicle | A. 车辆，工具 | B. 谷物，小品 | C. 垂直的，直立 | D. 消失，灭绝 | A
communicate | A. 社区，社会 | B. 传达，沟通 | C. 评述，评论 | D. 承诺，奉献 | B
dramatic | A. 戏剧性的，引人注目的 | B. 民主的，民选的 | C. 家庭的，国内的 | D. 浪漫的，传奇的 | A
client | A. 诊所，门诊 | B. 客户，委托人  | C. 悬崖，峭壁 | D. 气候，风气 | B
verify | A. 各种各样，变化 | B. 验证，核实 | C. 非常，极其 | D. 极为重要，关键 | B
private | A. 私人的，隐私的 | B. 剥夺，使丧失 | C. 特权，优待 | D. 原始的，初级 | A
depend | A. 捍卫，防御 | B. 依赖，依靠 | C. 描绘，叙述 | D. 耗尽，用光 | B
accumulate | A. 精确的，准确 | B. 适应，调节 | C. 积累，积聚 | D. 指责，控告 | C
rely | A. 依靠，依赖 | B. 回复，回答 | C. 延迟，耽误 | D. 放松，休息 | A
contrast | A. 合同，契约 | B. 控制，支配 | C. 对比，对照 | D. 矛盾，反驳 | C
favour | A. 味道，风味 | B. 恩惠，偏爱 | C. 狂热，发热 | D. 发烧，狂热 | B
grant | A. 伟大的，宏伟 | B. 拨款，授予 | C. 保证，担保 | D. 谷物，粮食 | B
institute | A. 学院，机构 | B. 启发，指导 | C. 构成，组成 | D. 代替，更换 | A
interaction | A. 国际的，世界 | B. 干扰，妨碍 | C. 相互作用，互动 | D. 拦截，阻断 | C
journey | A. 杂志，期刊 | B. 旅行，旅程 | C. 记者，新闻人 | D. 欢乐，喜悦 | B
label | A. 标签，标记 | B. 实验室，研制 | C. 劳动力，劳动 | D. 慷慨的，大方 | A
layer | A. 律师，法官 | B. 阶层，层次 | C. 布局，安排 | D. 忠诚的，老实 | B
manufacture | A. 手稿，原稿 | B. 制造，加工 | C. 操纵，控制 | D. 维持，保持 | B
notion | A. 概念，见解 | B. 通知，注意 | C. 明显的，显著 | D. 动议，提议 | A
organic | A. 组织，机构 | B. 器官的，有机的 | C. 起源，开端 | D. 原始的，最初 | B
parliament | A. 公园，停车场 | B. 议会，国会 | C. 部分，零件 | D. 伴侣，合伙人 | B
pose | A. 摆姿态，提出 | B. 邮政，邮件 | C. 积极的，正面 | D. 假设，假定 | A
quote | A. 退出，辞职 | B. 引用，引述 | C. 相当，很 | D. 质量，品质 | B
ratio | A. 评级，比率 | B. 比例，比率 | C. 理性的，合理 | D. 广播，无线电 | B
raw | A. 罕见的，珍贵 | B. 未煮熟的，生熟 | C. 粗鲁的，无礼 | D. 法律，条例 | B
reject | A. 拒绝，驳回 | B. 投射，计划 | C. 注入，注射 | D. 题目，主语 | A
priority | A. 财产，房产 | B. 优先权，重点 | C. 隐私，私事 | D. 适宜，得体 | B
privilege | A. 特权，优待 | B. 证明，证实 | C. 提供，供给 | D. 预测，预报 | A
scare | A. 稀少的，罕见 | B. 惊吓，受惊 | C. 伤疤，伤痕 | D. 规模，刻度 | B
shrink | A. 收缩，萎缩 | B. 耸肩，不理 | C. 呐喊，尖叫 | D. 闪烁，闪耀 | A
stretch | A. 严格的，严厉 | B. 伸展，延伸 | C. 罢工，打击 | D. 压力，强调 | B
stroke | A. 罢工，击打 | B. 强烈，坚固 | C. 中风，一击 | D. 结构，构造 | C
submit | A. 提交，服从 | B. 顶峰，高峰 | C. 承认，坦白 | D. 允许，许可 | A
